fixture_name,fixture_software_version,operator_id,timestamd,colors,asset_name,Contrast
Ver.1,Ver.1,Mason,1691985282.282297,B,Contrast_B.tif,17.429586,
Ver.1,Ver.1,Mason,1691985282.282297,G,Contrast_G.tif,37.812138,
Ver.1,Ver.1,Mason,1691985282.282297,R,Contrast_R.tif,85.55366,
