fixture_name,fixture_software_version,operator_id,timestamd,colors,asset_name,fov_v_deg,fov_h_deg,grill orientation,spatial_frequency_apd,spatial_period_lea_px,ctf_percent,michelson_percentile_min,michelson_percentile_max
Ver.1,Ver.1,mason,1692621917.9667118,B,capture_2_v_B.png,-5.6,-5.6,v,8.45cpd,4pixel,14.1,21,79,
Ver.1,Ver.1,mason,1692621917.9667118,B,capture_2_h_B.png,-5.6,-5.6,h,8.45cpd,4pixel,27.000002,21,79,
Ver.1,Ver.1,mason,1692621917.9667118,B,capture_2_v_B.png,-5.6,-2.8,v,8.45cpd,4pixel,9.5,21,79,
Ver.1,Ver.1,mason,1692621917.9667118,B,capture_2_h_B.png,-5.6,-2.8,h,8.45cpd,4pixel,22.6,21,79,
Ver.1,Ver.1,mason,1692621917.9667118,B,capture_2_v_B.png,-5.6,0,v,8.45cpd,4pixel,5.6000004,21,79,
Ver.1,Ver.1,mason,1692621917.9667118,B,capture_2_h_B.png,-5.6,0,h,8.45cpd,4pixel,24.6,21,79,
Ver.1,Ver.1,mason,1692621917.9667118,B,capture_2_v_B.png,-5.6,2.8,v,8.45cpd,4pixel,9.099999,21,79,
Ver.1,Ver.1,mason,1692621917.9667118,B,capture_2_h_B.png,-5.6,2.8,h,8.45cpd,4pixel,24.699999,21,79,
Ver.1,Ver.1,mason,1692621917.9667118,B,capture_2_v_B.png,-5.6,5.6,v,8.45cpd,4pixel,6.7000003,21,79,
Ver.1,Ver.1,mason,1692621917.9667118,B,capture_2_h_B.png,-5.6,5.6,h,8.45cpd,4pixel,25.9,21,79,
Ver.1,Ver.1,mason,1692621917.9667118,B,capture_2_v_B.png,-2.8,-5.6,v,8.45cpd,4pixel,13.799999,21,79,
Ver.1,Ver.1,mason,1692621917.9667118,B,capture_2_h_B.png,-2.8,-5.6,h,8.45cpd,4pixel,30.899998,21,79,
Ver.1,Ver.1,mason,1692621917.9667118,B,capture_2_v_B.png,-2.8,-2.8,v,8.45cpd,4pixel,8.8,21,79,
Ver.1,Ver.1,mason,1692621917.9667118,B,capture_2_h_B.png,-2.8,-2.8,h,8.45cpd,4pixel,33.899998,21,79,
