fixture_name,fixture_software_version,operator_id,timestamd,colors,asset_name,fov_v_deg,fov_h_deg,grill orientation,spatial_frequency_apd,spatial_period_lea_px,ctf_percent,michelson_percentile_min,michelson_percentile_max
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,-5.6,-5.6,v,8.45cpd,4pixel,11.5,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,-5.6,-5.6,h,8.45cpd,4pixel,25.099998,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,-5.6,-2.8,v,8.45cpd,4pixel,7.2,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,-5.6,-2.8,h,8.45cpd,4pixel,18.6,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,-5.6,0,v,8.45cpd,4pixel,4.7,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,-5.6,0,h,8.45cpd,4pixel,20.4,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,-5.6,2.8,v,8.45cpd,4pixel,6.6,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,-5.6,2.8,h,8.45cpd,4pixel,20.4,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,-5.6,5.6,v,8.45cpd,4pixel,5.4,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,-5.6,5.6,h,8.45cpd,4pixel,22.400002,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,-2.8,-5.6,v,8.45cpd,4pixel,12.1,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,-2.8,-5.6,h,8.45cpd,4pixel,29.0,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,-2.8,-2.8,v,8.45cpd,4pixel,6.7000003,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,-2.8,-2.8,h,8.45cpd,4pixel,31.3,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,-2.8,0,v,8.45cpd,4pixel,4.3,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,-2.8,0,h,8.45cpd,4pixel,25.9,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,-2.8,2.8,v,8.45cpd,4pixel,6.5,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,-2.8,2.8,h,8.45cpd,4pixel,19.6,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,-2.8,5.6,v,8.45cpd,4pixel,5.2000003,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,-2.8,5.6,h,8.45cpd,4pixel,12.3,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,0,-5.6,v,8.45cpd,4pixel,12.4,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,0,-5.6,h,8.45cpd,4pixel,28.3,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,0,-2.8,v,8.45cpd,4pixel,6.4,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,0,-2.8,h,8.45cpd,4pixel,28.600002,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,0,0,v,8.45cpd,4pixel,4.3,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,0,0,h,8.45cpd,4pixel,23.7,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,0,2.8,v,8.45cpd,4pixel,5.5,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,0,2.8,h,8.45cpd,4pixel,20.1,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,0,5.6,v,8.45cpd,4pixel,4.0,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,0,5.6,h,8.45cpd,4pixel,14.0,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,2.8,-5.6,v,8.45cpd,4pixel,8.1,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,2.8,-5.6,h,8.45cpd,4pixel,15.9,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,2.8,-2.8,v,8.45cpd,4pixel,5.6000004,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,2.8,-2.8,h,8.45cpd,4pixel,17.1,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,2.8,0,v,8.45cpd,4pixel,4.7,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,2.8,0,h,8.45cpd,4pixel,12.4,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,2.8,2.8,v,8.45cpd,4pixel,4.8,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,2.8,2.8,h,8.45cpd,4pixel,11.599999,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,2.8,5.6,v,8.45cpd,4pixel,3.7,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,2.8,5.6,h,8.45cpd,4pixel,9.4,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,5.6,-5.6,v,8.45cpd,4pixel,6.7000003,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,5.6,-5.6,h,8.45cpd,4pixel,15.800001,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,5.6,-2.8,v,8.45cpd,4pixel,5.0,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,5.6,-2.8,h,8.45cpd,4pixel,13.400001,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,5.6,0,v,8.45cpd,4pixel,4.1,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,5.6,0,h,8.45cpd,4pixel,12.1,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,5.6,2.8,v,8.45cpd,4pixel,3.8,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,5.6,2.8,h,8.45cpd,4pixel,11.0,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_v_B.png,5.6,5.6,v,8.45cpd,4pixel,3.2,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,B,capture_2_h_B.png,5.6,5.6,h,8.45cpd,4pixel,7.4,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_v_G.png,-5.6,-5.6,v,8.45cpd,4pixel,14.1,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_h_G.png,-5.6,-5.6,h,8.45cpd,4pixel,22.9,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_v_G.png,-5.6,-2.8,v,8.45cpd,4pixel,9.8,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_h_G.png,-5.6,-2.8,h,8.45cpd,4pixel,10.7,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_v_G.png,-5.6,0,v,8.45cpd,4pixel,5.7999997,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_h_G.png,-5.6,0,h,8.45cpd,4pixel,19.6,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_v_G.png,-5.6,2.8,v,8.45cpd,4pixel,10.599999,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_h_G.png,-5.6,2.8,h,8.45cpd,4pixel,25.2,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_v_G.png,-5.6,5.6,v,8.45cpd,4pixel,9.5,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_h_G.png,-5.6,5.6,h,8.45cpd,4pixel,31.900002,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_v_G.png,-2.8,-5.6,v,8.45cpd,4pixel,13.0,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_h_G.png,-2.8,-5.6,h,8.45cpd,4pixel,39.5,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_v_G.png,-2.8,-2.8,v,8.45cpd,4pixel,9.3,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_h_G.png,-2.8,-2.8,h,8.45cpd,4pixel,35.600002,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_v_G.png,-2.8,0,v,8.45cpd,4pixel,5.7,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_h_G.png,-2.8,0,h,8.45cpd,4pixel,33.5,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_v_G.png,-2.8,2.8,v,8.45cpd,4pixel,10.7,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_h_G.png,-2.8,2.8,h,8.45cpd,4pixel,23.0,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_v_G.png,-2.8,5.6,v,8.45cpd,4pixel,6.8,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_h_G.png,-2.8,5.6,h,8.45cpd,4pixel,14.7,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_v_G.png,0,-5.6,v,8.45cpd,4pixel,14.1,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_h_G.png,0,-5.6,h,8.45cpd,4pixel,35.7,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_v_G.png,0,-2.8,v,8.45cpd,4pixel,7.7,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_h_G.png,0,-2.8,h,8.45cpd,4pixel,38.100002,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_v_G.png,0,0,v,8.45cpd,4pixel,5.9,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_h_G.png,0,0,h,8.45cpd,4pixel,42.899998,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_v_G.png,0,2.8,v,8.45cpd,4pixel,8.299999,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_h_G.png,0,2.8,h,8.45cpd,4pixel,39.899998,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_v_G.png,0,5.6,v,8.45cpd,4pixel,5.7,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_h_G.png,0,5.6,h,8.45cpd,4pixel,32.5,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_v_G.png,2.8,-5.6,v,8.45cpd,4pixel,10.5,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_h_G.png,2.8,-5.6,h,8.45cpd,4pixel,22.2,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_v_G.png,2.8,-2.8,v,8.45cpd,4pixel,8.6,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_h_G.png,2.8,-2.8,h,8.45cpd,4pixel,19.5,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_v_G.png,2.8,0,v,8.45cpd,4pixel,7.6,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_h_G.png,2.8,0,h,8.45cpd,4pixel,14.599999,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_v_G.png,2.8,2.8,v,8.45cpd,4pixel,6.1,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_h_G.png,2.8,2.8,h,8.45cpd,4pixel,15.6,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_v_G.png,2.8,5.6,v,8.45cpd,4pixel,8.4,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_h_G.png,2.8,5.6,h,8.45cpd,4pixel,18.099998,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_v_G.png,5.6,-5.6,v,8.45cpd,4pixel,9.0,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_h_G.png,5.6,-5.6,h,8.45cpd,4pixel,21.9,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_v_G.png,5.6,-2.8,v,8.45cpd,4pixel,8.900001,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_h_G.png,5.6,-2.8,h,8.45cpd,4pixel,20.2,21,79,
Ver.1,Ver.1,mason,1692620930.1451178,G,capture_2_v_G.png,5.6,0,v,8.45cpd,4pixel,9.3,21,79,
