fixture_name,fixture_software_version,operator_id,timestamd,colors,asset_name,Uniformity
Ver.1,Ver.1,Mason,1691985285.6958542,B,Uniformity_B.tif,0.26644546,
Ver.1,Ver.1,Mason,1691985285.6958542,G,Uniformity_G.tif,0.26605225,
Ver.1,Ver.1,Mason,1691985285.6958542,R,Uniformity_R.tif,1.0709893,
